recipe_id,calories,protein
1106,350,5
1034,350,5
323,450,30
988,150,2
1135,130,1
960,120,1
69,450,45
984,350,12
785,180,2
136,450,35
2021,80,2
1613,450,18
1950,280,7
2165,400,9
1890,450,10
1504,350,35
1881,90,2
2115,450,15
2087,280,20
1697,300,10
8150,320,35
8129,150,4
7801,150,6
7709,120,4
7286,280,15
8253,550,45
8181,350,18
7761,320,8
7950,320,8
8010,320,10
3559,450,45
3495,280,12
3778,250,18
3995,200,3
4144,150,2
3560,450,45
3356,450,25
4217,450,25
3894,45,1
4157,50,0
8365,550,18
8304,90,5
8781,250,14
8344,320,18
8694,90,4
8663,150,3
8667,320,15
8648,250,4
8670,350,10
8563,250,15
4814,150,14
4886,80,3
4671,350,35
4497,450,35
4507,80,1
4494,40,1
4937,60,1
4938,80,1
4770,180,25
4769,180,25
9406,550,45
9929,290,9
9557,300,18
9589,280,12
9651,280,15
10129,550,25
10066,650,28
9964,180,6
9956,180,4
9982,320,7
5389,150,2
5465,350,35
6007,150,1
5436,210,25
5297,180,5
6022,220,6
5787,120,1
5343,180,8
6211,320,30
5553,320,25
2942,280,30
2803,25,1
2926,180,4
2554,550,35
2502,350,25
2920,70,1
2729,450,15
3020,150,12
2525,450,25
2534,320,22
6632,90,3
6466,90,2
6996,220,6
6696,250,8
6640,230,6
6582,10,1
6798,450,32
6678,180,2
6280,350,25
6826,550,35
213,400,25
206,350,30
804,450,18
709,320,20
784,120,3
24,550,35
603,600,25
264,350,20
258,350,20
254,350,30
1215,180,6
1769,450,20
1906,280,3
1900,220,6
1807,280,3
1862,290,4
1923,100,0
1869,250,4
1796,280,3
2114,350,25
8023,90,3
8159,250,30
8170,450,35
7907,120,3
8162,280,14
7470,650,50
7528,250,25
8231,650,45
7704,180,8
7802,180,10
4089,120,1
4022,120,3
4183,220,0
4136,280,14
4181,140,0
4016,320,5
3826,180,8
3659,120,15
4151,90,5
4214,650,35
8793,220,12
8548,220,10
9223,250,14
9011,220,5
8546,450,30
8502,220,25
8769,70,6
9119,180,12
9217,320,14
8968,180,7
4567,250,20
4771,150,20
4981,550,38
4982,320,27
4980,450,35
4619,320,25
4617,450,30
4615,350,25
5020,150,4
4809,180,25
9976,180,6
