recipe_id,uuid,name,local_image,image_url
100000,7e39d901-3441-5fef-9214-19acfca40ce7,Jollof Rice,food_dataset_v2\recipe_images\100000_jollof_rice.jpg,cloudflare_url/recipe_images/7e39d901-3441-5fef-9214-19acfca40ce7.jpg
100001,103946b3-5d54-5c47-8621-19d04b586e1a,Egusi Soup,food_dataset_v2\recipe_images\100001_egusi_soup.jpg,cloudflare_url/recipe_images/103946b3-5d54-5c47-8621-19d04b586e1a.jpg
100002,e1be011d-cd0c-5269-b176-aeca02e62605,Fufu,food_dataset_v2\recipe_images\100002_fufu.jpg,cloudflare_url/recipe_images/e1be011d-cd0c-5269-b176-aeca02e62605.jpg
100003,51cf7135-c53c-55e1-8724-9abb76dc8e25,Pounded Yam,food_dataset_v2\recipe_images\100003_pounded_yam.jpg,cloudflare_url/recipe_images/51cf7135-c53c-55e1-8724-9abb76dc8e25.jpg
100004,d21d99b4-45aa-56b3-8ff8-a4764c6a2d2d,Eba,,
100005,3a25b9f3-0f85-5af3-861d-98140b7d735b,Amala,food_dataset_v2\recipe_images\100005_amala.jpg,cloudflare_url/recipe_images/3a25b9f3-0f85-5af3-861d-98140b7d735b.jpg
100006,eadac0f4-97eb-52ae-a245-4d1da0a21da2,Suya,food_dataset_v2\recipe_images\100006_suya.jpg,cloudflare_url/recipe_images/eadac0f4-97eb-52ae-a245-4d1da0a21da2.jpg
100007,fca462ad-5b0e-5cc0-8300-fd954681fc51,Puff Puff,food_dataset_v2\recipe_images\100007_puff_puff.jpg,cloudflare_url/recipe_images/fca462ad-5b0e-5cc0-8300-fd954681fc51.jpg
100008,54931ab7-5019-5553-8dcf-bc22ad94a3cf,Moi Moi,food_dataset_v2\recipe_images\100008_moi_moi.jpg,cloudflare_url/recipe_images/54931ab7-5019-5553-8dcf-bc22ad94a3cf.jpg
100009,0550dca8-be1d-5727-bf2b-811bea5eda4b,Akara,food_dataset_v2\recipe_images\100009_akara.jpg,cloudflare_url/recipe_images/0550dca8-be1d-5727-bf2b-811bea5eda4b.jpg
100010,5de48572-b809-5ef3-a83d-f0303c0a2a93,Bunny Chow,food_dataset_v2\recipe_images\100010_bunny_chow.jpg,cloudflare_url/recipe_images/5de48572-b809-5ef3-a83d-f0303c0a2a93.jpg
100011,ec7482f2-faa8-5f69-8c28-1bdb2fd85a00,Bobotie,,
100012,c4137c9c-f663-5eab-9bde-6270c6ed7dee,Biltong,food_dataset_v2\recipe_images\100012_biltong.jpg,cloudflare_url/recipe_images/c4137c9c-f663-5eab-9bde-6270c6ed7dee.jpg
100013,a41da0bd-3481-51f4-bf53-6e89705dc2e9,Pap en Vleis,food_dataset_v2\recipe_images\100013_pap_en_vleis.jpg,cloudflare_url/recipe_images/a41da0bd-3481-51f4-bf53-6e89705dc2e9.jpg
100014,7769b2d3-7173-559a-b860-65f29ee21294,Potjiekos,,
100015,edc9e790-2f94-54af-bfb0-7c954ead2d1e,Malva Pudding,food_dataset_v2\recipe_images\100015_malva_pudding.jpg,cloudflare_url/recipe_images/edc9e790-2f94-54af-bfb0-7c954ead2d1e.jpg
100016,454cd7a2-1ad8-56a1-a7ad-4ae3d6aad2b5,Koeksisters,,
100017,624700fa-ad32-52b0-9616-4497b1601245,Chakalaka,,
100018,3eba67d4-f681-50a9-9a3d-2a03b882f313,Samp and Beans,food_dataset_v2\recipe_images\100018_samp_and_beans.jpg,cloudflare_url/recipe_images/3eba67d4-f681-50a9-9a3d-2a03b882f313.jpg
100019,444dee9d-5f7d-5cc8-b2ae-f4a0746f77f5,Melktert,,
100020,b9e95c28-0eaf-54ae-bb53-0a50451d91ee,Injera,,
100021,15cfbc73-831d-5e9a-ad52-90bbaf475daf,Doro Wat,food_dataset_v2\recipe_images\100021_doro_wat.jpg,cloudflare_url/recipe_images/15cfbc73-831d-5e9a-ad52-90bbaf475daf.jpg
100022,01e980f5-b54e-5207-808c-78f2296a84c2,Kitfo,,
100023,12d15f6f-05c0-5d77-8aa2-5b526fabfe7d,Tibs,,
100024,ccba579a-ceb6-5b0b-a9b8-8e5ff7975834,Berbere Sauce,food_dataset_v2\recipe_images\100024_berbere_sauce.jpg,cloudflare_url/recipe_images/ccba579a-ceb6-5b0b-a9b8-8e5ff7975834.jpg
100025,eebb1f69-c67f-53c7-8e65-fd652beee313,Shiro,food_dataset_v2\recipe_images\100025_shiro.jpg,cloudflare_url/recipe_images/eebb1f69-c67f-53c7-8e65-fd652beee313.jpg
100026,2c7af0ca-f80c-5621-b497-e0d8a57d44cb,Misir Wot,,
100027,122b751a-7966-5eae-a082-9ff92d7e744a,Firfir,,
100028,b588e87f-b760-5c08-8d29-6d1dc6dce99a,Couscous,food_dataset_v2\recipe_images\100028_couscous.jpg,cloudflare_url/recipe_images/b588e87f-b760-5c08-8d29-6d1dc6dce99a.jpg
100029,50038f47-c044-5762-80d9-64ef47f801cb,Tagine,food_dataset_v2\recipe_images\100029_tagine.jpg,cloudflare_url/recipe_images/50038f47-c044-5762-80d9-64ef47f801cb.jpg
